ID	site	number	date	coliform_estimate	ecoli_estimate
7S7R100	TJ_River_Concrete_Channel	7	11_22_19	5475000	437000
9S9R100	Goat_Canyon	9	11_22_19	24196000	24196000
8S8R100	Stewarts_Drain	8	11_22_19	10112000	8704000
6S6R100	Smugglers_Gulch	6	11_22_19	24196000	24196000
11S11R1	Yogurt_Canyon	11	11_22_19	38730	1090
10S10R1	Boca_Rio	10	11_22_19	2613000	683000
16S16R1	Boca_Rio	16	12_6_19	1785000	275000
17S17R1	Yogurt_Canyon	17	12_6_19	241960000	64880000
15S15R1	Goat_Canyon	15	12_6_19	71200000	17100000
14S14R1	Stewarts_Drain	14	12_6_19	57940000	14830000
12S12R1	Smugglers_Gulch	12	12_6_19	46110000	13760000
13S13R1	TJ_River_Concrete_Channel	13	12_6_19	8164000	2755000
3S3R100	TJ_River_Concrete_Channel	3	2_12_20	6200000	1000000
2S2R100	Yogurt_Canyon	2	2_12_20	63000	10000
5S5R100	Boca_Rio	5	2_12_20	18700000	4100000
1S1R100	Stewarts_Drain	1	2_12_20	1000000	1000000
4S4R100	Smugglers_Gulch	4	2_12_20	1000000	1000000
20S20R1	Stewarts_Drain	20	2_24_20	648800000	83600000
21S21R1	Boca_Rio	21	2_24_20	594000	52000
22S22R1	Yogurt_Canyon	22	2_24_20	189000	10000
18S18R1	Smugglers_Gulch	18	2_24_20	32700000	4100000
19S19R1	TJ_River_Concrete_Channel	19	2_24_20	90900000	18500000
