ID,20S20R1,7S7R100,9S9R100,3S3R100,21S21R1,22S22R1,8S8R100,6S6R100,2S2R100,5S5R100,16S16R1,17S17R1,1S1R100,15S15R1,18S18R1,19S19R1,14S14R1,11S11R1,4S4R100,10S10R1,12S12R1,13S13R1
Candidatus Aenigmarchaeota archaeon CG1_02_38_14,7.0,6.0,2.0,3.0,4.0,123.0,2.0,0.0,117.0,7.0,6.0,1.0,4.0,0.0,5.0,3.0,4.0,54.0,0.0,17.0,1.0,6.0
Candidatus Bathyarchaeota archaeon B23,1.0,10.0,1.0,0.0,1.0,12.0,0.0,0.0,5.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,23.0,0.0,11.0,0.0,1.0
Candidatus Bathyarchaeota archaeon B24,8.0,12.0,2.0,6.0,2.0,50.0,10.0,0.0,40.0,5.0,11.0,0.0,7.0,5.0,10.0,0.0,10.0,52.0,2.0,16.0,1.0,4.0
Candidatus Bathyarchaeota archaeon B25,0.0,0.0,1.0,1.0,8.0,18.0,0.0,1.0,18.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,2.0,19.0,1.0,7.0,4.0,1.0
Candidatus Bathyarchaeota archaeon B26-1,1.0,7.0,2.0,10.0,0.0,16.0,3.0,3.0,23.0,2.0,10.0,0.0,9.0,3.0,3.0,2.0,4.0,18.0,5.0,6.0,2.0,3.0
Candidatus Bathyarchaeota archaeon B26-2,7.0,16.0,2.0,7.0,3.0,25.0,7.0,1.0,31.0,9.0,13.0,1.0,7.0,6.0,3.0,7.0,10.0,45.0,3.0,23.0,1.0,3.0
Candidatus Bathyarchaeota archaeon B63,4.0,3.0,1.0,7.0,2.0,24.0,7.0,1.0,31.0,3.0,5.0,0.0,2.0,1.0,6.0,3.0,1.0,33.0,3.0,13.0,1.0,7.0
Candidatus Bathyarchaeota archaeon BA1,5.0,5.0,1.0,8.0,2.0,25.0,1.0,1.0,28.0,10.0,8.0,0.0,9.0,4.0,2.0,1.0,3.0,29.0,10.0,10.0,2.0,5.0
Candidatus Bathyarchaeota archaeon BA2,3.0,6.0,1.0,1.0,4.0,23.0,2.0,1.0,39.0,5.0,12.0,2.0,7.0,2.0,3.0,12.0,5.0,26.0,9.0,19.0,0.0,3.0
Candidatus Bathyarchaeota archaeon RBG_13_38_9,0.0,5.0,7.0,6.0,4.0,33.0,2.0,2.0,52.0,6.0,7.0,2.0,2.0,3.0,7.0,8.0,8.0,45.0,3.0,13.0,4.0,5.0
Candidatus Bathyarchaeota archaeon RBG_13_46_16b,1.0,13.0,2.0,3.0,2.0,32.0,2.0,0.0,57.0,7.0,17.0,0.0,1.0,1.0,1.0,1.0,7.0,29.0,3.0,17.0,0.0,7.0
Candidatus Bathyarchaeota archaeon RBG_13_52_12,0.0,8.0,13.0,0.0,4.0,26.0,3.0,1.0,37.0,4.0,9.0,1.0,2.0,4.0,4.0,0.0,3.0,46.0,4.0,36.0,0.0,7.0
Candidatus Bathyarchaeota archaeon RBG_13_60_20,2.0,0.0,1.0,2.0,1.0,12.0,2.0,4.0,10.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,23.0,0.0,22.0,0.0,1.0
Candidatus Bathyarchaeota archaeon RBG_16_48_13,0.0,3.0,1.0,4.0,2.0,21.0,0.0,0.0,16.0,4.0,3.0,0.0,3.0,0.0,3.0,1.0,1.0,24.0,4.0,9.0,4.0,2.0
Candidatus Bathyarchaeota archaeon RBG_16_57_9,0.0,1.0,4.0,1.0,1.0,9.0,1.0,0.0,8.0,3.0,10.0,1.0,6.0,1.0,3.0,0.0,1.0,12.0,0.0,9.0,0.0,3.0
miscellaneous Crenarchaeota group archaeon SMTZ-80,7.0,5.0,5.0,14.0,12.0,55.0,1.0,1.0,46.0,9.0,43.0,4.0,10.0,2.0,11.0,3.0,27.0,45.0,3.0,39.0,3.0,8.0
