ID,20S20R1,7S7R100,9S9R100,3S3R100,21S21R1,22S22R1,8S8R100,6S6R100,2S2R100,5S5R100,16S16R1,17S17R1,1S1R100,15S15R1,18S18R1,19S19R1,14S14R1,11S11R1,4S4R100,10S10R1,12S12R1,13S13R1
Candidatus Aenigmarchaeota archaeon CG1_02_38_14,7,6,2,3,4,123,2,0,117,7,6,1,4,0,5,3,4,54,0,17,1,6
Candidatus Bathyarchaeota archaeon B23,1,10,1,0,1,12,0,0,5,0,3,2,2,1,2,1,3,23,0,11,0,1
Candidatus Bathyarchaeota archaeon B24,8,12,2,6,2,50,10,0,40,5,11,0,7,5,10,0,10,52,2,16,1,4
Candidatus Bathyarchaeota archaeon B25,0,0,1,1,8,18,0,1,18,0,3,0,2,0,3,0,2,19,1,7,4,1
Candidatus Bathyarchaeota archaeon B26-1,1,7,2,10,0,16,3,3,23,2,10,0,9,3,3,2,4,18,5,6,2,3
Candidatus Bathyarchaeota archaeon B26-2,7,16,2,7,3,25,7,1,31,9,13,1,7,6,3,7,10,45,3,23,1,3
Candidatus Bathyarchaeota archaeon B63,4,3,1,7,2,24,7,1,31,3,5,0,2,1,6,3,1,33,3,13,1,7
Candidatus Bathyarchaeota archaeon BA1,5,5,1,8,2,25,1,1,28,10,8,0,9,4,2,1,3,29,10,10,2,5
Candidatus Bathyarchaeota archaeon BA2,3,6,1,1,4,23,2,1,39,5,12,2,7,2,3,12,5,26,9,19,0,3
Candidatus Bathyarchaeota archaeon RBG_13_38_9,0,5,7,6,4,33,2,2,52,6,7,2,2,3,7,8,8,45,3,13,4,5
Candidatus Bathyarchaeota archaeon RBG_13_46_16b,1,13,2,3,2,32,2,0,57,7,17,0,1,1,1,1,7,29,3,17,0,7
Candidatus Bathyarchaeota archaeon RBG_13_52_12,0,8,13,0,4,26,3,1,37,4,9,1,2,4,4,0,3,46,4,36,0,7
Candidatus Bathyarchaeota archaeon RBG_13_60_20,2,0,1,2,1,12,2,4,10,3,0,0,2,2,2,1,4,23,0,22,0,1
Candidatus Bathyarchaeota archaeon RBG_16_48_13,0,3,1,4,2,21,0,0,16,4,3,0,3,0,3,1,1,24,4,9,4,2
Candidatus Bathyarchaeota archaeon RBG_16_57_9,0,1,4,1,1,9,1,0,8,3,10,1,6,1,3,0,1,12,0,9,0,3
miscellaneous Crenarchaeota group archaeon SMTZ-80,7,5,5,14,12,55,1,1,46,9,43,4,10,2,11,3,27,45,3,39,3,8
miscellaneous Crenarchaeota group archaeon SMTZ1-55,0,3,4,3,0,14,0,2,26,2,3,1,4,1,3,0,2,29,3,7,1,5
miscellaneous Crenarchaeota group-1 archaeon SG8-32-1,1,7,3,7,8,40,0,0,79,3,14,3,1,1,3,3,8,20,7,34,0,2
miscellaneous Crenarchaeota group-1 archaeon SG8-32-3,2,9,5,3,2,19,1,0,51,6,19,0,3,2,3,1,1,5,0,17,1,8
miscellaneous Crenarchaeota group-15 archaeon DG-45,0,11,1,6,6,20,1,6,17,5,4,0,6,1,1,3,4,29,0,12,1,4
miscellaneous Crenarchaeota group-6 archaeon AD8-1,0,11,5,5,11,31,1,2,74,8,20,0,1,2,8,3,8,27,2,43,1,7
uncultured marine crenarchaeote E37-7F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uncultured marine crenarchaeote E48-1C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
uncultured marine crenarchaeote E6-3G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uncultured miscellaneous Crenarchaeota group,0,0,0,0,0,7,0,1,3,0,0,0,0,0,0,0,0,4,0,3,0,0
Candidatus Korarchaeum cryptofilum,2,6,1,4,2,15,1,0,25,0,9,0,0,1,7,0,6,28,2,5,4,2
uncultured korarchaeote,0,1,0,0,1,2,1,0,5,0,0,1,0,0,3,0,0,4,1,3,0,0
Lokiarchaeum sp. GC14_75,20,24,11,14,18,104,11,8,62,13,34,4,13,7,17,14,27,108,20,69,6,14
Candidatus Lokiarchaeota archaeon CR_4,6,30,7,15,12,60,1,11,93,16,15,4,11,7,14,7,23,50,12,47,2,17
Candidatus Micrarchaeum acidiphilum,8,15,4,2,7,13,6,11,28,14,10,7,10,15,13,6,16,36,12,8,6,5
Candidatus Micrarchaeum sp. AZ1,0,2,0,2,0,2,0,0,1,0,0,0,0,0,2,0,0,6,0,2,0,1
Candidatus Micrarchaeota archaeon CG1_02_47_40,4,4,0,13,8,60,1,6,91,9,12,2,3,6,9,6,9,93,19,18,4,4
Candidatus Micrarchaeota archaeon CG1_02_49_24,5,6,1,0,1,35,1,4,84,3,9,0,4,2,8,3,5,68,1,17,2,3
Candidatus Micrarchaeota archaeon CG1_02_51_15,1,8,0,5,5,39,1,0,57,1,9,0,1,1,1,2,7,47,2,8,1,1
Candidatus Micrarchaeota archaeon CG1_02_55_22,2,8,4,4,2,53,0,1,84,3,3,3,4,2,3,1,11,91,2,13,1,3
Candidatus Micrarchaeota archaeon CG1_02_55_41,1,3,0,6,1,39,1,0,40,0,4,1,1,0,2,0,1,48,1,11,1,2
Candidatus Micrarchaeota archaeon CG1_02_60_51,0,10,1,0,1,43,1,0,58,0,1,2,2,1,0,1,2,51,0,8,0,1
